_ExportData-2,,,
Moshi, , ,
Greenfield Center,NY,12833-1502,12833
Soldotna,AK,99669,99669
Seattle,WA,98195-2100,98195
Anchorage,AK,99516,99516
Seattle,WA,98195-0001,98195
La Grande,OR,97850-3307,97850
San Andrés Cholula, ,72810,72810
Capulhuac, ,52710,52710
Corvallis,OR,97331-8542,97331
Madison,WI,53704-5753,53704
Edinboro,PA,16444-0001,16444
Asheville,NC,28804-9606,28804
Washington,PA,15301,15302
Victoria,BC,V8Z 7X8,V8Z 7X9
Missoula,MT,59801,59802
Grande Cache,AB,T0E0Y0,T0E0Y1
New Hope,PA,18938-9315,18938
Washington,DC,20002,20003
Burnaby,BC,V5A 1S6,V5A 1S7
Boston,MA,02215-1406,02215
Honolulu,HI,96822,96822
West Chester,PA,19380,19380
Aracruz - ES, ,29194-581,29194
Davidson,NC,28035,28035
Scarsdale,NY,10583,10583
Bozeman,MT,59715,59715
Norman,OK,73019,73019
Statesboro,GA,30460,30460
Suffield,CT,6078,6078
Longwood,FL,32779,32779
Reno,NV,89503,89503
Ventura,CA,93003,93003
Madison,WI,53704,53704
Oakland,CA,94602,94602
JAMAICA PLAIN,MA,2130,2130
Bay Village,OH,44140,44140
Decatur,GA,30033,30033
Fort Collins,CO,80523,80523
Denton,TX,76201,76201
New Haven,CT,6511,6511
Tacoma,WA,98421,98421
Johnston,RI,2919,2919
Ottawa,ON,K2P0A4,K2P0A5
Auburn,AL,36849-5418,36849
Fairbanks,AK,99709,99709
Bethesda,MD,20816-2606,20816
Arlington,WA,98223-9808,98223
Kirchheim, ,73230,73230
Fort Collins,CO,80523-1474,80523
Saint Louis,MO,63166-0299,63166
Venus,FL,33960,33960
Knoxville,TN,37919-5206,37919
Perrysburg,OH,43551-6755,43551
Kelowna,BC,V1V 1V7,V1V 1V8
Lenexa,KS,66215-3229,66215
Port Murray,NJ,7865,7865
Cambridge,MA,02140-1340,02140
Seattle,WA,98107-2849,98107
Hotchkiss,CO,81419-7315,81419
Madison,WI,53706,53706
Mexico Df, ,4510,4510
Los Angeles,CA,90095-8348,90095
Laramie,WY,82071,82071
Davis,CA,95616,95616
Newport,OR,97365,97365
New Market,TN,37820-5305,37820
Annandale,VA,22003,22004
Port Rowan,ON,N0E 1M0,N0E 1M1
Davis,CA,95616-5270,95616
Waterville,ME,4901,4901
Madison,WI,53706-1313,53706
Jonesboro,ME,4648,4648
New Haven,CT,6511,6511
Boise,ID,83703-3125,83703
Cincinnati,OH,45268,45268
Saint Louis,MO,63116-4801,63116
Toronto,ON,M1N1A9,M1N1A10
Orono,ME,4469,4469
Missoula,MT,59802,59802
Richmond,VA,23173,23174
Toronto,ON,M5A 2N8,M5A 2N9
Vancouver,BC,V6T 1Z4,V6T 1Z5
Olympia,WA,98506-2853,98506
Madison,WI,53703-3532,53703
Billings,MT,59101,59101
Washington,DC,20001,20001
Kaneohe,HI,96744,96744
Arlington,VA,22205,22205
Merrimac,MA,1860,1860
Maitland,FL,32751,32751
Madison,WI,53711,53711
Vilna,AB,T0A 3L0,T0A 3L1
Coral Gables,FL,33146,33146
Tucson,AZ,85712,85712
Washington,DC,20036,20036
Skokie,IL,60076,60076
Asuncion, , , 
Gainesville,FL,32607,32607
Honolulu,HI,96821,96821
Kimberley, ,8301,8301
Athens,GA,30605,30605
Washington,DC,20036,20036
Santa Barbarba,CA, , 
Lawrence,KS,66044,66044
Madison,WI,53703-3834,53703
Toledo,OH,43606,43606
Santa Cruz,CA,95060,95060
Hamilton,ON,L8L 1K3,L8L 1K4
Auburn,AL,36849,36850
Golden,CO,80401-9213,80401
Carlisle,PA,17013-3439,17013
New York,NY,10011-8131,10011
Lancaster,PA,17602-2436,17602
Ithaca,NY,14853-7202,14853
New Orleans,LA,70124-1501,70124
Madison,WI,53705-1269,53705
New York,NY,10033,10033
Saint Paul,MN,55108,55108
Madison,WI,53707-7921,53707
Broomfield,CO,80023,80023
Galesburg,IL,61401,61401
Gladstone, ,4680,4680
Park City,UT,84098,84098
Washington,DC,20008,20008
Seattle,WA,98118-2430,98118
Storrs Mansfield,CT,06269-3043,06269
Baraboo,WI,53913-0447,53913
Bryn Mawr,PA,19010-2859,19010
Missoula,MT,59812-0001,59812
Alexandria,VA,22305-1619,22305
Chicago,IL,60653,60653
Missoula,MT,59808-9791,59808
Chattanooga,TN,37405,37405
Stevens Point,WI,54481-9676,54481
Erie,CO,80516-9601,80516
Fort Collins,CO,80526-6109,80526
Apple Valley,MN,55124-8151,55124
Washington,DC,20007-1582,20007
Annapolis,MD,21401-7307,21401
New Brunswick,NJ,08901-8551,08901
Jefferson City,MO,65102,65102
Zurich, ,8003,8003
Rock Island,IL,61201-2210,61201
Davis,CA,95616-1338,95616
Flagstaff,AZ,86001,86001
Tucson,AZ,85721,85721
Palo Alto,CA,94306-4150,94306
Silver Spring,MD,20910,20910
Belfast,ME,4915,4915
Portland,OR,97212,97212
Missoula,MT,59801,59801
San Diego,CA,92120,92120
Clarion,PA,16214,16214
Tucson,AZ,85749-8956,85749
Fort Collins,CO,80525-1002,80525
Chicago,IL,60660,60660
Lander,WY,82520,82520
Chapel Hill,NC,27516,27516
Santa Barbara,CA,93109,93109
Tucson,AZ,85711,85711
Spokane,WA,99205,99205
Stanford,CA,94305,94305
Kailua,HI,96734,96734
Anchorage,AK,99518,99518
 , , , 
Miami,FL,33192,33192
Ottawa,ON,K1Y 2E7,K1Y 2E8
Hickory Corners,MI,49060,49061
Toronto,ON,M1C1A4,M1C1A5
Davie,FL,33314-7705,33314
Lansing,MI,48912-3124,48912
Laramie,WY,82070-3865,82070
Bogotá,Colombia,110221,110221
Wellesley,MA,2481,2481
Woodstock,GA,30188-1085,30188
Westfield,MA,01085-3544,01085
Arlington,MA,02476-6433,02476
Scottsdale,AZ,85251-2907,85251
Hungry Horse,MT,59919-0705,59919
Bayonne,NJ,07002-3005,07002
Fremont,CA,94539,94539
Escondido,CA,92027-7000,92027
Washington,DC,20011-5952,20011
Hattiesburg,MS,39402-8146,39402
Mississauga,ON,L5M 2A9,L5M 2A10
Aledo,TX,76008-4744,76008
Brampton,ON,L6X 3A7,L6X 3A8
Santaquin,UT,84655-4701,84655
East Lansing,MI,48823-1754,48823
Ward,CO,80481-9621,80481
Makawao,HI,96768-1706,96768
Fort Collins,CO,80521-3649,80521
Saint Louis,MO,63110,63110
Woodbridge,NJ,07095-3408,07095
Missoula,MT,59812,59812
Hays,KS,67601-4099,67601
San Mateo,CA,94402-1024,94402
McKinleyville,CA,95519-8149,95519
North Vancouver,BC,V7G 1K3,V7G 1K4
Moab,UT,84532,84533
Louisville,CO,80027-1269,80027
Reno,NV,89503-3558,89503
Edmunds,ME,4628,4628
Washington,DC,20010,20010
Fort Collins,CO,80524-2531,
Fort Davis,TX,79734,79734
Austin,TX,78712-0253,78712
Blacksburg,VA,24061-0001,24061
Santa Barbara,CA,93110-1029,93110
El Paso,TX,79902,79903
Gainesville,FL, , 
Vancouver,BC,V6T 1Z4,V6T 1Z5
Vancouver,BC,V5R 6H8,V5R 6H9
Tucson,AZ,85743,85744
Stony Brook,NY,11794-5000,11794
Santa Cruz,CA,95060,95060
Reno,NV,89501,89501
Calgary,AB,T3J3S5,T3J3S6
Lerma De Villada, ,52005,52006
 , , , 
East Lansing,MI,48824-5631,48824
Ames,IA,50011-1180,50011
Richardson,TX,75080,75080
Washington,DC,20005,20005
Glendora,CA,91740,91740
Seattle,WA,98195,98195
College Station,TX,77845,77845
Berkeley,CA,94708,94708
Winnipeg,MB,R3G 1N6,R3G 1N7
McDonald Observatory,TX,79734,79734
Kenmore,NY,14217,14217
BOZEMAN,MT,59715,59715
Thunder Bay,ON,P7A 4K9,P7A 4K10
Hickory Corners,MI,49060,49060
Tubney, , , 
Seattle,WA,98107,98107
Gatineau,QC,J9A 3G8,J9A 3G9
Washington,DC, , 
Mandan,ND,58554,58554
Santa Ana,CA,92705,92705
Long Beach,CA,90810,90810
Weeki Wachee,FL,34614,34614
Berkeley,CA,94709,94709
Ann Arbor,MI,48108,48108
Deerfield Beach,FL,33442,33442
Solana Beach,CA,92075,92075
Farmville,VA,23901,23901
Ithaca,NY,14850,14850
Pueblo,CO,81001,81001
Santa Barbara,CA,93105-9764,93105
Knox,PA,16232-5470,16232
Bogota, , , 
Bayfield,CO,81122-9382,81122
Walsingham,ON,N0E 1X0,N0E 1X1
Philomath,OR,97370-9378,97370
Toluca, ,50000,50001
Thunder Bay,ON,P7B 6T8,P7B 6T9
Newark,OH,43055-1766,43055
Waban,MA,02468-1731,02468
Lansing,MI,48906-4348,48906
Denver,CO,80212-2644,80212
Orleans,CA,95556-0104,95556
Halifax,NS,B3J 0B3,B3J 0B4
Fort Wayne,IN,46818,46819
Trempealeau,WI,54661-8257,54661
St Johns,NL,A1B 3X9,A1B 3X10
Albany,NY,12205,12205
Ghent,NY,12075,12075
Livingston,AL,35470,35470
Joliet,IL,60435,60435
Corvallis,OR,97331-8530,97331
San Francisco,CA,94124,94124
Evanston,IL,60208-0001,60208
SHUTESBURY,MA,1072,1072
Isiolo, , ,
Cary,NC,27513-4952,27513
Eau Claire,WI,54702-4404,54702
Los Angeles,CA,90024-0020,90024
Edmonton,AB,T6G 2H1,T6G 2H2
Annapolis,MD,21401-2352,21401
Poughkeepsie,NY,12604-0513,12604
Ft Collins,CO,80521-2059,80521
Venus,FL,33960,33960
South Bend,IN,46634,46634
Seven Valleys,PA,17360-8840,17360
Sacramento,CA,95814,95814
Cockburnspath, ,TD13 5XG,TD13 5XG
Indianapolis,IN,46205,46205
Williamsburg,VA,23185,23185
Columbus,OH,43212,43212
St. Catharines,ON,L2S 1P4,L2S 1P5
Missoula,MT,59812,59813
Denver,CO,80206,80207
Vancouver,BC,V6T 1Z4,V6T 1Z5
Fayetteville,AR,72701,72701
Seattle,WA,98103,98103
Johnson City,TN,37601,37601
Seattle,WA,98104,98104
Fremont, , , 
Santa Cruz,CA,95060,95060
Missoula,MT,59802-1920,59802
HONOLULU,HI,96817,96817
Falls Church,VA,22044-1514,22044
Johnstown,CO,80534-8217,80534
GEORGETOWN, ,592,592
San Diego,CA,92101,92101
Miami,FL,33133,33133
Lethbridge,AB,T1J 2J1,T1J 2J2
Whittier,NC,28789-9773,28789
New Haven,CT,06511-2617,06511
Toronto,ON,M4X1E5,M4X1E6
Boulder,CO,80303,80303
Los Altos,CA,94022,94022
Cambridge,Cambridgeshire,CB21ST,CB21ST
Colorado Springs,CO,80928-9433,80928
Saint Augustine,FL,32084-3164,32084
Gardiner,MT,59030-0344,59030
Chicago,IL,60614-5003,60614
Zibo,Shandong,255000,255000
Alexandria,VA,22304,22304
Brooklyn,NY,11231-2631,11231
Kalamazoo,MI,49008-1354,49008
College Station,TX,77840,77840
Santa Barbara,CA,93101-5509,93101
Phoenix,AZ,85006-2761,85006
Davenport,IA,52803-2898,52803
Davis,CA,95616-2165,95616
East Northport,NY,11731-4615,11731
Clemson,SC,29631,29631
New York,NY,10011,10011
Takoma Park,MD,20912-4922,20912
Honolulu,HI,96816,96816
Los Angeles,CA,90027-5044,90027
Katy,TX,77493-8131,77493
Raleigh,NC,27605-1230,27605
Central,SC,29630-9311,29630
Scarborough,ME,04074-8722,04074
Arlington,VA,22201-2594,22201
Albuquerque,NM,87104-3227,87104
Truckee,CA,96161,96162
Wolfville,NS,B4P 2R6,B4P 2R7
Arlington,VA,22202,22203
Cumming,GA,30028-4720,30028
East Lansing,MI,48825-1210,48825
Jasper,GA,30143-1556,30143
Solomons,MD,20688-0038,20688
Seattle,WA,98122,98122
Brick,NJ,8724,8724
Cedar City,UT,84720,84720
Allentown,PA,18104,18104
New Orleans,LA,70118,70118
Wolong, ,620036,620036
Caracas, ,1071,1071
Salem,OR,97309-7070,97309
Kinshasa, , ,
Vancouver,BC,V6T 1Z4,V6T 1Z5
Saratoga Springs,NY,12866-1726,12866
Panama City,FL,32405,32405
Washington,DC,20001,20001
Onalaska,WI,54650,54650
Unity,ME,4988,4988
Mankato,MN,56001-6553,56001
Blacksburg,VA,24061-0001,24061
New York,NY,10023,10023
Moraga,CA,94575,94575
Kennebunk,ME,4043,4043
Athens,OH,45701,45701
Espanola,NM,87532,87532
Santa Clara,CA,95053,95053
Miami,FL,33134-7110,33134
Brooklyn,NY,11204,11204
Loretto,PA,15940,15940
College Park,MD,20740-3921,20740
Washington,DC,20003,20003
Juneau,AK,99801-8623,99801
LAWRENCE,KS,66046,66046
Westerville,OH,43081,43081
Vancouver,BC,V6T1Z4,V6T1Z5
Hartford,CT,6106,6106
Blacksburg,VA,24061-1036,24061
Fort Collins,CO,80521,80521
Nottingham,NH,3290,3290
Copley,OH,44321,44321
Gainesville,FL,32605,32605
Houston,TX,77094-2646,77094
Bozeman,MT,59718,59718
Fresno,CA,93720,93720
Oxnard,CA,93035,93035
Knoxville,TN,37919,37919
Miami,FL,33177,33177
Beijing, ,100871,100871
Victoria,BC,V8P 2C5,V8P 2C6
MOORESVILLE,NC,28117,28117
Chicago,IL,60626,60626
Pepperell,MA,1463,1463
Keaau,HI,96749,96749
Santa Barbara,CA,93111,93111
Portland,OR,97205,97205
Washington,DC,20003,20003
Keene,NH,03431-3552,03431
Silver Spring,MD, ,
Madison,WI,53705-1541,53705
San Francisco,CA,94118,94118
Normal,IL,61761,61761
Lincoln,NE,68506-2326,68506
Columbus,OH,43214-1814,43214
Louisville,CO,80027-1817,80027
Wooster,OH,44691,44691
San Diego,CA,92104-5447,92104
Findlay,OH,45840-1202,45840
Greenwood Village,CO,80111-1958,80111
Tucson,AZ,85717-0253,85717
Colorado Springs,CO,80946,80946
College Station,TX,77840-3907,77840
Phoenix,AZ,85029-2820,85029
Athens,GA,30606-4116,30606
Ocean Springs,MS,39564-6083,39564
Cheney,WA,99004,99004
San Diego,CA,92116-1206,92116
Syracuse,NY,13210-2522,13210
Davis,CA,95616-8103,95616
Syracuse,NY,13203,13203
Philadelphia,PA,19146-2423,19146
Portola Valley,CA,94028-8138,94028
Arlington,VA,22207-4436,22207
Guelph,ON,N1G 4Y9,N1G 4Y10
Kalamazoo,MI,49006,49006
Juneau,AK,99801,99801
Los Alamos,NM,87544-2740,87544
Corvallis,OR,97330-2878,97330
Los Ranchos,NM,87107,87107
Syracuse,NY,13210-2712,13210
Bryn Mawr,PA,19010-1511,19010
Loveland,CO,80538,80538
Olympia,WA,98502-3449,98502
Berryville,VA,22611,22611
Cardenas,Tabasco,86570,86570
Huntingtown,MD,20639-3009,20639
Saint Louis,MO,63139-1258,63139
Stevenson,WA,98648,98648
Pella,IA,50219-1902,50219
EDMONTON,AB,T6E1Y2,T6E1Y3
Omaha,NE,68182,68183
Hinton,AB,T7V1V3,T7V1V4
Marshall,CA,94940-0808,94940
Craftsbury Common,VT,05827-0072,05827
Aiken,SC,29801,29801
Grafton,WV,26354,26354
Reno,NV,89557,89557
Austin,TX,78735,78735
Corvallis,OR,97330-3818,97330
Friday Harbor,WA,98250-8492,98250
Laramie,WY,82070,82071
Vancouver,BC,V6T 1Z4,V6T 1Z5
Washington,DC,20007,20007
Oakton,VA,22124,22124
Princeton,NJ,8544,8544
Syracuse,NY,13215-9539,13215
Portland,OR,97219-7879,97219
Bozeman,MT,59717,59717
Godfrey,IL,62035,62035
Toronto,ON,M5S 3G5,M5S 3G6
Tucson,AZ,85716-1010,85716
Vancouver,BC,V6S 0J8,V6S 0J9
Brasilia, ,71525-235,71525
Kakabeka Falls,ON,P0T 1W0,P0T 1W1
Whitby,ON,L1R 1X9,L1R 1X10
Flagstaff,AZ,86011-5640,86011
New York,NY,10023-5404,10023
Sebastopol,CA,95472-2872,95472
Fort Collins,CO,80524-3425,80524
New York,NY,10030-1904,10030
Genolier VD, ,1272,1272
Glencoe,IL,60022-1168,60022
Aztec,NM,87410-9816,87410
Charleston,SC,29412-2079,29412
Lander,WY,82520,82520
Los Angeles,CA,90095-1496,90095
San Diego,CA,92116-1024,92116
Thousand Oaks,CA,91360-4223,91360
Salt Lake City,UT,84108,84108
St Louis,MO,63130-4899,63130
Ithaca,NY,14850,14850
Los Angeles,CA,90024-0020,90024
Vestal,NY,13850,13851
Edmonton,AB,T6G3E9,T6G3E10
Roseville,MN,55113,55113
Riverside,CA,92521,92521
Chico,CA,95928-7015,95928
Millersville,PA,17551-0302,17551
Carlton,VIC,3000,3000
Moscow,ID,83844,83844
Ithaca,NY,14853,14853
Windsor,ON,N9A 6K1,N9A 6K2
Sisters,OR,97759,97759
Petaluma,CA,94952,94952
Toronto,ON,M6B 2W1,M6B 2W2
New Orleans,LA,70122,70122
Syracuse,NY,13210,13210
Washington,DC, , 
Hayward,CA,94541,94541
Joseph,OR,97846,97846
West Boylston,MA,01583-1706,01583
Lansing,MI,48910,48910
Libertyville,IL,60048-5367,60048
Ottawa,ON,K1Z 6S1,K1Z 6S2
College Station,TX,77840,77841
Gleason,TN,38229-7014,38229
East Lansing,MI,48823,48823
New Brunswick,NJ,08901-2882,08901
New Rochelle,NY,10801-2634,10801
Astoria,NY,11102-1358,11102
Duluth,MN,55805-1527,55805
Kailua,HI,96734-4172,96734
Paradise Valley,AZ,85253-1648,85253
Tallahassee,FL,32309-3232,32309
Madison,WI,53711-1860,53711
Cornwall Bridge,CT,06754-1135,06754
Washington,DC,20010-3470,20010
Boise,ID,83705-2936,83705
Eureka,CA,95501-1913,95501
Sterling,VA,20165-4703,20165
Moraga,CA,94556-2406,94556
Santa Fe,NM,87508-8287,87508
La Jolla,CA,92037-1946,92037
Honolulu,HI,96816-6909,96816
Saint Paul,MN,55108-1124,55108
McHenry,MD,21541-1227,21541
Hickory Corners,MI,49060-9507,49060
Brooklyn,NY,11215-1438,11215
Cottonwood,CA,96022-7706,96022
Granville,OH,43023,43023
Madison,WI,53711,53711
Saint Louis,MO,63110-1395,63110
Fayette,MO,65248,65248
Kenmore,WA,98028-8648,98028
Auburn,AL,36849-0001,36849
Canmore,AB,T1W 1P6,T1W 1P7
Adrian,MI,49221-2518,49221
Washington,DC,20009-3808,20009
Fort Collins,CO,80526-8118,80526
Cape Town, ,7700,7700
Albany,NY,12209,12209
Ithaca,NY,14853,14853
Hopland,CA,95449-9717,95449
Coarsegold,CA,93614-9050,93614
Winnipeg,MB,R3T 2N2,R3T 2N3
Takoma Park,MD,20037-1124,20037
Mars Hill,NC,28754-9134,28754
Fort Lauderdale,FL,33314-7719,33314
Winchester,VA,22601,22601
Weldon,CA,93283-1316,93283
Princeton,NJ,08540-4411,08540
Lewiston,ME,4240,4240
Watsonville,CA,95076-2700,95076
Athens,GA,30605-3324,30605
Atlanta,GA,30345,30345
Saint Petersburg,FL,33701,33701
New Brunswick,NJ,8901,8901
Phoenix,AZ,85008,85008
Seattle,WA,98101,98101
Lima, ,15074,15074
Oxford,OH,45056-8983,45056
Poughkeepsie,NY,12603,12603
Portland,OR,97211,97211
Stony Brook,NY,11790,11790
Athens, ,122 44,123 44
Tampa,FL,33647,33647
Columbia Falls,MT,59912,59912
Denman Island,BC,V0R 1T0,V0R 1T1
Oakland,CA,94611-4720,94611
 , , ,
Seattle,WA,98115,98115
Tucson,AZ,85745-1256,85745
Milwaukee,WI,53233,53233
Sunrise,FL,33323,33323
Durham,Durham,DH13LE,DH13LE
Markham,ON,L3R 5M5,L3R 5M6
Calgary,AB,T2N 2K5,T2N 2K6
Fremont,CA,94539,94539
San Diego,CA,92129,92129
Los Angeles,CA,91335,91335
Mount Pleasant, ,8081,8081
Auburn,AL,36830,36830
Honolulu,HI,96826,96826
Cleveland,OH,44102-3407,44102
Lansing,MI,48915,48915
Tucson,AZ,85721,85721
New York,NY,10025,10025
Clifton,VA,20124,20124
Santa Rosa,CA,95401-3808,95401
Canby,OR,97013-9762,97013
Bryan,TX,77801,77801
Irvine,CA,92697,92697
Berkeley,CA,94703,94703
Gunnison,CO,81230,81230
Davis,CA,95616,95616
New York,NY,10017-6870,10017
Bend,OR,97703,97703
Bhaktapur,Nepal,44806,44806
Missoula,MT,59807-7321,59807
Sterling,VA,20165-5179,20165
Minturn,CO,81645-1512,81645
Oxford,Oxfordshire,OX1 4JD,OX1 4JD
Vero Beach,FL,32967-8877,32967
Providence,RI,02906-2410,02906
Negaunee,MI,49866-9673,49866
Mount Pearl,NL,A1W 4E9,A1W 4E10
Stillwater,OK,74075,74075
Boulder,CO,80303,80303
Edmond,OK,73012-5202,73012
Washington,DC,20009-2112,20009
Wesley Chapel,FL,33545-5140,33545
Arlington,VA,22202-2009,22202
Fairbanks,AK,99709,99709
Ann Arbor,MI,48109-1041,48109
Middletown Springs,VT,05757-4293,05757
Moncton,NB,E1E 1X4,E1E 1X5
Denver,CO,80230-7172,80230
High Point,NC,27265-9298,27265
Laurel,MD,20723-1864,20723
Oakville,ON,L6M 0M8,L6M 0M9
Kearney,NE,68845-5262,68845
Huntington,WV,25755,25755
Menlo Park,CA,94025-3301,94025
Renton,WA,98059-4723,98059
Toronto,ON,M4X 1B3,M4X 1B4
Klamath Falls,OR,97603-9678,97603
Portland,OR,97221,97221
Bozeman,MT,59717,59717
Davis,CA,95616,95616
Sacramento,CA,95833-1503,95833
Chevy Chase,MD,20815-3228,20815
Fort Collins,CO,80523-1474,80523
Davis,CA,95616-5270,95616
Truckee,CA,96161,96161
Easthampton,MA,01027-0864,01027
Louisville,KY,40272-1306,40272
Victoria,BC,V8S3M3,V8S3M4
Eugene,OR,97405-4729,97405
Banff,AB,T1L 1G1,T1L 1G2
Wilmington,NC,28403,28404
Concord,MA,01742-2422,01742
Washington,DC,20015,20015
Laramie,WY,82071,82071
Easley,SC,29642,29642
Sacramento,CA,95814,95814
Newark,OH,43055,43055
Washington,DC,20036,20036
Livingston,TX,77399,77399
St. Lucia, ,4072,4072
San Antonio,TX,78248,78248
Wheaton,IL,60189-5000,60189
Los Angeles,CA,90042,90042
El Paso,TX,79912,79912
Sault Ste Marie,MI,49783,49783
New York,NY,10024-5102,10024
Brussels, ,1030,1030
Cambridge,MA,2139,2139
Tübingen, ,72076,72076
Marshall,NC,28753,28753
Chesterfield,MO,63017,63017
Orono,ME, ,
Gainesville,FL,32611,32611
Newark,DE,19711,19711
Santa Barbara,CA,93103,93103
BOULDER,CO,80304,80304
Guelph,ON,N1E2W9,N1E2W10
